"C1", "C2"
"なにはえのあしのかりねのひとよゆゑ", "みをつくしてやこひわたるへき"
"たまのをよたえなはたえねなからへは", "しのふることのよはりもそする"
"みせはやなをしまのあまのそてたにも", "ぬれにそぬれしいろはかはらす"
"きりきりすなくやしもよのさむしろに", "ころもかたしきひとりかもねむ"
"わかそてはしほひにみえぬおきのいしの", "ひとこそしらねかわくまもなし"
"よのなかはつねにもかもななきさこく", "あまのおふねのつなてかなしも"
"みよしののやまのあきかせさよふけて", "ふるさとさむくころもうつなり"
"おほけなくうきよのたみにおほふかな", "わかたつそまにすみそめのそて"
"はなさそふあらしのにはのゆきならて", "ふりゆくものはわかみなりけり"
"こぬひとをまつほのうらのゆふなきに", "やくやもしほのみもこかれつつ"
"かせそよくならのをかはのゆふくれは", "みそきそなつのしるしなりける"
"ひともをしひともうらめしあちきなく", "よをおもふゆゑにものおもふみは"
"ももしきやふるきのきはのしのふにも", "なほあまりあるむかしなりけり"
